PERSON,Date,LOCATION 1,Latitude,Longitude,NOTES
"Burnet, David",18 January 1676,Edinburgh,55.95,-3.2,-
"Burnet, David",31 July 1676,Paris,48.5109,2.2034,-
"Burnet, David",25 April 1677,Paris,48.5109,2.2034,-
"Burnet, David",16 May 1677,Paris,48.5109,2.2034,-
"Burnet, David",3 July 1677,Paris,48.5109,2.2034,-
"Burnet, David",23 August 1677,Paris,48.5109,2.2034,-
"Burnet, David",9 September 1677,Paris,48.5109,2.2034,-
"Burnet, David",20 September 1677,Paris,48.5109,2.2034,-
"Burnet, David",14 October 1677,Paris,48.5109,2.2034,-
"Burnet, David",8 November 1677,Paris,48.5109,2.2034,-
"Burnet, David",13 November 1677,Paris,48.5109,2.2034,-
"Burnet, David",16 November 1677,Paris,48.5109,2.2034,-
"Burnet, David",2 January 1678,Paris,48.5109,2.2034,-
"Burnet, David",12 June 1678,Paris,48.5109,2.2034,-
"Burnet, David",27 July 1678,Paris,48.5109,2.2034,-
"Burnet, David",3 August 1678,Paris,48.5109,2.2034,-
"Burnet, David",9 October 1678,Paris,48.5109,2.2034,-
"Burnet, David",16 October 1678,Paris,48.5109,2.2034,-
"Burnet, David",18 October 1678,Paris,48.5109,2.2034,-
"Burnet, David",19 October 1678,Paris,48.5109,2.2034,-
"Burnet, David",22 October 1678,Paris,48.5109,2.2034,-
"Burnet, David",14 May 1679,Paris,48.5109,2.2034,-
"Burnet, David",12 June 1679,Paris,48.5109,2.2034,-
"Burnet, David",18 July 1679,Paris,48.5109,2.2034,-
"Burnet, David",24 July 1679,Paris,48.5109,2.2034,-
"Burnet, David",20 September 1679,Paris,48.5109,2.2034,-
"Burnet, David",2 October 1679,Paris,48.5109,2.2034,-
"Burnet, David",28 November 1679,Paris,48.5109,2.2034,-
"Burnet, David",14 December 1679,Paris,48.5109,2.2034,-
"Burnet, David",16 December 1679,Paris,48.5109,2.2034,-
"Burnet, David",19 March 1680,Paris,48.5109,2.2034,-
"Burnet, David",26 March 1680,Paris,48.5109,2.2034,-
"Burnet, David",28 March 1680,Paris,48.5109,2.2034,-
"Burnet, David",25 July 1680,Rouen,49.433333,1.083333,-
"Burnet, David",26 July 1680,Rouen,49.433333,1.083333,-
"Burnet, David",4 August 1680,Amsterdam,52.35,4.916667,-
"Burnet, David",9 August 1680,Zealand,55.5608,9.5841,left Zealand on a ship
"Burnet, David",17 August 1680,Rotterdam,51.916667,4.5,-
"Burnet, David",27 September 1680,"Gordon Castle, alias Bogue",57.3723,-3.0514,-
"Burnet, David",26 December 1680,Elgin,57.65,-3.333333,arrived after 10 weeks traveling around Scotland
"Burnet, David",3 January 1681,Elgin,57.65,-3.333333,-
"Burnet, David",3 March 1681,Speyside,57.2758,-3.095,-
"Burnet, David",20 April 1681,Scotland,56.4907,4.2026,-
"Burnet, David",22 April 1681,Elgin,57.65,-3.333333,-
"Burnet, David",8 May 1681,Elgin,57.65,-3.333333,-
"Burnet, David",6 June 1681,Speyside,57.2758,-3.095,-
"Burnet, David",22 June 1681,Edinburgh,55.95,-3.2,-
"Burnet, David",15 August 1681,Aberdeen,57.133333,-2.1,-
"Burnet, David",24 September 1681,Aberdeen,57.133333,-2.1,-
"Burnet, David",16 October 1681,Aberdeen,57.133333,-2.1,-
"Burnet, David",18 October 1681,Aberdeen,57.133333,-2.1,-
"Burnet, David",9 December 1681,Edinburgh,55.95,-3.2,-
"Burnet, David",2 March 1683,Scotland,56.4907,4.2026,-
"Burnet, David",11 May 1683,Scotland,56.4907,4.2026,-
"Burnet, David",24 May 1683,Scotland,56.4907,4.2026,-
"Burnet, David",25 May 1683,Scotland,56.4907,4.2026,-
"Burnet, David",29 June 1683,Scotland,56.4907,4.2026,-
"Burnet, David",3 July 1683,Scotland,56.4907,4.2026,-
"Burnet, David",26 July 1683,Scotland,56.4907,4.2026,-
"Burnet, David",7 August 1683,Scotland,56.4907,4.2026,-
"Burnet, David",10 August 1683,Scotland,56.4907,4.2026,-
"Burnet, David",22 September 1683,Scotland,56.4907,4.2026,-
"Burnet, David",24 October 1683,Scotland,56.4907,4.2026,-
"Burnet, David",8 January 1684,Scotland,56.4907,4.2026,-
"Burnet, David",18 March 1684,Scotland,56.4907,4.2026,-
"Burnet, David",3 October 1684,Scotland,56.4907,4.2026,-
"Burnet, David",18 April 1685,Scotland,56.4907,4.2026,-
"Burnet, David",2 May 1685,Scotland,56.4907,4.2026,-
"Burnet, David",3 August 1685,Scotland,56.4907,4.2026,-
"Burnet, David",27 December 1686,Edinburgh,55.95,-3.2,-
"Burnet, David",8 January 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",14 January 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",20 January 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",27 January 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",10 February 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",22 February 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",24 February 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",3 March 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",11 March 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",20 March 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",22 March 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",31 March 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",11 April 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",14 April 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",15 April 1687,Inverness,57.466667,-4.233333,-
"Burnet, David",1 June 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",28 June 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",14 July 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",26 July 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",14 August 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",23 August 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",29 August 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",1 September 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",19 September 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",4 October 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",8 November 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",22 November 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",10 December 1687,Edinburgh,55.95,-3.2,-
"Burnet, David",11 January 1688,Scotland,56.4907,4.2026,-
"Burnet, David",26 January 1688,Scotland,56.4907,4.2026,-
"Burnet, David",8 February 1688,Scotland,56.4907,4.2026,-
"Burnet, David",24 February 1688,Scotland,56.4907,4.2026,-
"Burnet, David",27 February 1688,Scotland,56.4907,4.2026,-
"Burnet, David",8 March 1688,Scotland,56.4907,4.2026,-
"Burnet, David",16 March 1688,Scotland,56.4907,4.2026,-
"Burnet, David",19 March 1688,Scotland,56.4907,4.2026,-
"Burnet, David",22 March 1688,"Holyroodhouse, Edinburgh",55.573,3.0924,-
"Burnet, David",24 March 1688,Scotland,56.4907,4.2026,-
"Burnet, David",28 March 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",29 March 1688,Scotland,56.4907,4.2026,-
"Burnet, David",1 April 1688,Scotland,56.4907,4.2026,-
"Burnet, David",20 April 1688,Scotland,56.4907,4.2026,-
"Burnet, David",26 April 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",27 April 1688,Scotland,56.4907,4.2026,-
"Burnet, David",4 May 1688,Scotland,56.4907,4.2026,-
"Burnet, David",6 May 1688,Scotland,56.4907,4.2026,-
"Burnet, David",11 May 1688,Scotland,56.4907,4.2026,-
"Burnet, David",19 May 1688,Edinburgh Castle,55.5636,3.1208,-
"Burnet, David",31 May 1688,Scotland,56.4907,4.2026,-
"Burnet, David",3 June 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",7 June 1688,Scotland,56.4907,4.2026,-
"Burnet, David",13 June 1688,Scotland,56.4907,4.2026,-
"Burnet, David",16 July 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",22 July 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",30 July 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",16 August 1688,Scotland,56.4907,4.2026,-
"Burnet, David",19 August 1688,Scotland,56.4907,4.2026,-
"Burnet, David",26 August 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",2 September 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",4 September 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",12 September 1688,Scotland,56.4907,4.2026,-
"Burnet, David",5 October 1688,Scotland,56.4907,4.2026,-
"Burnet, David",15 October 1688,Scotland,56.4907,4.2026,-
"Burnet, David",11 November 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",7 December 1688,Edinburgh,55.95,-3.2,-
"Burnet, David",10 December 1688,Scotland,56.4907,4.2026,-
"Burnet, David",27 May 1690,Dublin,53.3330556,-6.2488889,-
"Burnet, David",20 June 1690,Dublin,53.3330556,-6.2488889,-
"Burnet, David",14 August 1690,Paris,48.5109,2.2034,-
"Burnet, David",2 September 1690,Paris,48.5109,2.2034,-
"Burnet, David",2 September 1690,Scotland Low Countries,55.591,-3.2529,-
"Burnet, David",16 September 1690,Dunkirk,51.05,2.366667,-
"Burnet, David",21 January 1692,Scotland,56.4907,4.2026,-
"Burnet, David",26 February 1692,Scotland,56.4907,4.2026,-